"tick","number_infected"
1.1,19890
2.1,39230
3.1,57990
4.1,75901
5.1,92852
6.1,109040
7.1,124124
8.1,138503
9.1,151744
10.1,164490
11.1,176241
12.1,187493
13.1,197762
14.1,207603
15.1,216677
16.1,225450
17.1,233644
18.1,241378
19.1,248569
20.1,255516
21.1,262085
22.1,268323
23.1,274279
24.1,279946
25.1,285175
26.1,290267
27.1,295080
28.1,299808
29.1,304268
30.1,308436
31.1,312334
32.1,316194
33.1,319747
34.1,323288
35.1,326635
36.1,329781
37.1,332898
38.1,335832
39.1,338633
40.1,341453
41.1,344078
42.1,346623
43.1,349038
44.1,351386
45.1,353622
46.1,355747
47.1,357928
48.1,360007
49.1,362014
50.1,363897
51.1,381347
52.1,400191
53.1,430415
54.1,469885
55.1,520209
56.1,576274
57.1,632432
58.1,685374
59.1,732845
60.1,774266
61.1,809923
62.1,840188
63.1,865975
64.1,887919
65.1,906836
66.1,922986
67.1,937320
68.1,949913
69.1,960986
70.1,971087
71.1,980135
72.1,988208
73.1,995681
74.1,1002662
75.1,1008985
76.1,1014962
77.1,1020479
78.1,1025649
79.1,1030466
80.1,1035118
81.1,1039410
82.1,1043536
83.1,1047384
84.1,1051160
85.1,1054760
86.1,1058169
87.1,1061417
88.1,1064543
89.1,1067667
90.1,1070727
91.1,1073601
92.1,1076429
93.1,1079106
94.1,1081763
95.1,1084270
96.1,1086746
97.1,1089128
98.1,1091505
99.1,1093755
