"tick","number_infected"
1.1,19882
2.1,39263
3.1,58005
4.1,75894
5.1,92789
6.1,108991
7.1,124047
8.1,138524
9.1,151834
10.1,164581
11.1,176278
12.1,187555
13.1,197950
14.1,207944
15.1,217273
16.1,226173
17.1,234549
18.1,242623
19.1,250090
20.1,257328
21.1,264024
22.1,270422
23.1,276452
24.1,282309
25.1,287814
26.1,293161
27.1,298233
28.1,303171
29.1,307636
30.1,312140
31.1,316312
32.1,320429
33.1,324207
34.1,328021
35.1,331496
36.1,334994
37.1,338326
38.1,341526
39.1,344526
40.1,347426
41.1,350197
42.1,352975
43.1,355708
44.1,358327
45.1,360809
46.1,363253
47.1,365676
48.1,367962
49.1,370139
50.1,372374
51.1,390188
52.1,409297
53.1,439984
54.1,479730
55.1,530125
56.1,585835
57.1,642074
58.1,695096
59.1,743614
60.1,786389
61.1,823425
62.1,855299
63.1,882601
64.1,905817
65.1,926281
66.1,944012
67.1,959889
68.1,974167
69.1,986982
70.1,998330
71.1,1008830
72.1,1018409
73.1,1027232
74.1,1035520
75.1,1043244
76.1,1050522
77.1,1057353
78.1,1063807
79.1,1070204
80.1,1076109
81.1,1081780
82.1,1087258
83.1,1092549
84.1,1097504
85.1,1102399
86.1,1107062
87.1,1111757
88.1,1116228
89.1,1120520
90.1,1124649
91.1,1128685
92.1,1132577
93.1,1136462
94.1,1140305
95.1,1144104
96.1,1147755
97.1,1151429
98.1,1154998
99.1,1158580
