"tick","number_infected"
1.1,19883
2.1,39195
3.1,57907
4.1,75771
5.1,92569
6.1,108709
7.1,123482
8.1,137690
9.1,150859
10.1,163377
11.1,174950
12.1,186033
13.1,196147
14.1,205875
15.1,214800
16.1,223350
17.1,231342
18.1,238940
19.1,246099
20.1,252867
21.1,259376
22.1,265569
23.1,271343
24.1,276765
25.1,281901
26.1,286814
27.1,291467
28.1,295872
29.1,300071
30.1,304047
31.1,307819
32.1,311480
33.1,315003
34.1,318385
35.1,321495
36.1,324538
37.1,327461
38.1,330303
39.1,332991
40.1,335618
41.1,338057
42.1,340507
43.1,342811
44.1,345054
45.1,347117
46.1,349186
47.1,351132
48.1,353123
49.1,354977
50.1,356765
51.1,374217
52.1,393241
53.1,423853
54.1,463753
55.1,513744
56.1,568499
57.1,624099
58.1,676456
59.1,723151
60.1,763391
61.1,797703
62.1,826775
63.1,851247
64.1,872012
65.1,889864
66.1,905135
67.1,918533
68.1,930146
69.1,940519
70.1,949570
71.1,957823
72.1,965261
73.1,972114
74.1,978153
75.1,983716
76.1,988463
77.1,993031
78.1,997195
79.1,1001008
80.1,1004879
81.1,1008341
82.1,1011573
83.1,1014599
84.1,1017468
85.1,1020262
86.1,1022950
87.1,1025408
88.1,1027623
89.1,1029855
90.1,1031848
91.1,1033770
92.1,1035661
93.1,1037577
94.1,1039352
95.1,1041033
96.1,1042636
97.1,1044242
98.1,1045809
99.1,1047386
