"tick","number_infected"
1.1,19902
2.1,39263
3.1,57973
4.1,75891
5.1,92809
6.1,109013
7.1,124028
8.1,138274
9.1,151510
10.1,164203
11.1,175839
12.1,187110
13.1,197439
14.1,207422
15.1,216659
16.1,225508
17.1,233748
18.1,241550
19.1,248942
20.1,256081
21.1,262632
22.1,268907
23.1,274854
24.1,280666
25.1,285967
26.1,291074
27.1,296055
28.1,300827
29.1,305327
30.1,309644
31.1,313864
32.1,317831
33.1,321615
34.1,325260
35.1,328713
36.1,332115
37.1,335326
38.1,338470
39.1,341426
40.1,344263
41.1,347072
42.1,349714
43.1,352333
44.1,354848
45.1,357291
46.1,359638
47.1,361900
48.1,364148
49.1,366225
50.1,368339
51.1,386001
52.1,404970
53.1,435267
54.1,475145
55.1,525312
56.1,581028
57.1,637183
58.1,690240
59.1,737771
60.1,779734
61.1,815197
62.1,845548
63.1,871222
64.1,893062
65.1,912132
66.1,928999
67.1,944051
68.1,957292
69.1,969193
70.1,979761
71.1,989514
72.1,998339
73.1,1006548
74.1,1013898
75.1,1020718
76.1,1027024
77.1,1033085
78.1,1038586
79.1,1044087
80.1,1049168
81.1,1053975
82.1,1058562
83.1,1062883
84.1,1066995
85.1,1071052
86.1,1074710
87.1,1078415
88.1,1081993
89.1,1085505
90.1,1088804
91.1,1092027
92.1,1095161
93.1,1098334
94.1,1101322
95.1,1104317
96.1,1107152
97.1,1110044
98.1,1112782
99.1,1115570
