"tick","number_infected"
1.1,19894
2.1,39280
3.1,57993
4.1,75852
5.1,92720
6.1,108923
7.1,123956
8.1,138343
9.1,151489
10.1,164286
11.1,176025
12.1,187363
13.1,197717
14.1,207549
15.1,216660
16.1,225355
17.1,233547
18.1,241438
19.1,248761
20.1,255728
21.1,262388
22.1,268745
23.1,274817
24.1,280483
25.1,285936
26.1,291070
27.1,295922
28.1,300540
29.1,304893
30.1,309068
31.1,313118
32.1,317030
33.1,320774
34.1,324354
35.1,327765
36.1,331073
37.1,334119
38.1,337149
39.1,340027
40.1,342864
41.1,345583
42.1,348215
43.1,350746
44.1,353143
45.1,355522
46.1,357876
47.1,360033
48.1,362213
49.1,364299
50.1,366268
51.1,384027
52.1,402891
53.1,433145
54.1,472374
55.1,521814
56.1,577309
57.1,633183
58.1,685993
59.1,733675
60.1,774919
61.1,810549
62.1,840391
63.1,866120
64.1,887764
65.1,906756
66.1,922821
67.1,937003
68.1,949305
69.1,960625
70.1,970723
71.1,980107
72.1,988529
73.1,996214
74.1,1003269
75.1,1009838
76.1,1015995
77.1,1021735
78.1,1027077
79.1,1032217
80.1,1037050
81.1,1041568
82.1,1045961
83.1,1050207
84.1,1054284
85.1,1058062
86.1,1061765
87.1,1065277
88.1,1068656
89.1,1071888
90.1,1075073
91.1,1078093
92.1,1081099
93.1,1083964
94.1,1086819
95.1,1089564
96.1,1092267
97.1,1094871
98.1,1097387
99.1,1099901
